name,regular,character,kind,subject,fault,fault_family,drink_wish,arrived_s,left_s,in_shop_s,repair_s,accepted,served,outcome,grade,patience_at_exit,wait_kind,base_pay,tip
"Tomas",no,"WatchOwner","Drink","Latte",,,,7.8,39.8,31.9,20.6,yes,yes,"Served",,1.0,"Seat",6,4
"Omar",no,"Radio Owner","Repair","Pocket Watch","Debris Inside, Won't Tell Time","Mechanical","Coffee",25.8,54.5,28.6,,no,no,"StormedOutInQueue",,0.0,,0,0
"Deshawn",no,"PhoneOwner","Repair","Pocket Watch","Debris Inside, Won't Tell Time","Mechanical","Coffee",48.4,74.6,26.2,,no,no,"StormedOutInQueue",,0.0,,0,0
"Nina",no,"WatchOwner","Drink","Coffee",,,,54.4,85.2,30.8,,no,no,"StormedOutInQueue",,0.0,,0,0
"Yuki",no,"Radio Owner","Drink","Latte",,,,66.4,93.5,27.1,,no,no,"StormedOutInQueue",,0.0,,0,0
"Malcom",no,"WatchOwner","Repair","Pocket Watch","Debris Inside, Won't Tell Time","Mechanical",,13.8,102.5,88.6,73.5,yes,yes,"Served","Rejected",0.9,"Seat",0,0
"Beatriz",no,"Radio Owner","Drink","Latte",,,,19.8,113.6,93.8,69.8,yes,yes,"Served",,1.0,"Seat",6,1
"Saamin",no,"WatchOwner","Repair","Pocket Watch","Debris Inside, Won't Tell Time","Mechanical","Coffee",84.4,115.2,30.8,,no,no,"StormedOutInQueue",,0.0,,0,0
"Priya",no,"WatchOwner","Drink","Latte",,,,96.4,129.7,33.3,,no,no,"StormedOutInQueue",,0.0,,0,0
"Malcom",no,"PhoneOwner","Repair","Pocket Watch","Debris Inside, Won't Tell Time","Mechanical",,31.8,142.7,110.9,92.8,yes,no,"StormedOutWaiting",,0.0,"Seat",0,0
"Omar",no,"Radio Owner","Repair","Pocket Watch","Debris Inside, Won't Tell Time","Mechanical","Coffee",115.9,144.1,28.2,,no,no,"StormedOutInQueue",,0.0,,0,0
"Beatriz",no,"PhoneOwner","Repair","Phone","Cracked Screen","Mechanical",,123.4,147.2,23.8,,no,no,"StormedOutInQueue",,0.0,,0,0
"Ali",no,"Radio Owner","Repair","Phone","Cracked Screen","Mechanical","Coffee",130.9,159.2,28.2,,no,no,"StormedOutInQueue",,0.0,,0,0
"Saamin",no,"PhoneOwner","Repair","Pocket Watch","Debris Inside, Won't Tell Time","Mechanical",,144.4,168.7,24.2,,no,no,"StormedOutInQueue",,0.0,,0,0
"Grace",no,"Radio Owner","Repair","Pocket Watch","Debris Inside, Won't Tell Time","Mechanical",,102.4,172.3,69.9,53.0,yes,yes,"Served","Perfect",1.0,"Seat",38,8
"Walter",no,"PhoneOwner","Drink","Latte",,,,169.9,196.2,26.2,,no,no,"StormedOutInQueue",,0.0,,0,0
"Beatriz",no,"Radio Owner","Repair","Phone","Cracked Screen","Mechanical",,159.4,219.5,60.0,37.2,yes,yes,"Served","Perfect",1.0,"Seat",44,15
"Valerie",no,"WatchOwner","Repair","Phone","Cracked Screen","Mechanical","Latte",150.4,258.4,107.9,81.7,yes,yes,"Served","Perfect",1.0,"Seat",50,25
