name,regular,character,kind,subject,fault,fault_family,drink_wish,arrived_s,left_s,in_shop_s,service_s,accepted,served,outcome,grade,patience_at_exit,wait_kind,base_pay,tip,story_lines,focus_requested,remembered_focus,story_episode,camera_grade,photo_variant
"Walter",no,"Impatient","Drink","Coffee",,,,8.9,48.0,39.1,,no,no,"StormedOutInQueue",,0.0,,0,0,0,no,no,,,
"Tomas",no,"Rushed","Repair","Pocket Watch","Debris Inside, Won't Tell Time","Cleaning",,26.9,60.5,33.7,,no,no,"StormedOutInQueue",,0.0,,0,0,0,no,no,,,
"Deshawn",no,"Impatient","Repair","Pocket Watch","Debris Inside, Won't Tell Time","Cleaning",,44.9,84.0,39.2,,no,no,"StormedOutInQueue",,0.0,,0,0,0,no,no,,,
"Beatriz",no,"Sentimental","Repair","Pocket Watch","Seized Movement","Mechanical",,68.9,85.5,16.6,,no,no,"Declined",,0.9,,0,0,0,no,no,,,
"Alishba",no,"Impatient","Repair","Phone","Service disconnected - call support to restore it","Bureaucratic",,56.9,106.7,49.9,29.5,yes,no,"StormedOutWaiting",,0.0,"Loiter",0,0,0,no,no,,,
"Valerie",no,"Rushed","Repair","Pocket Watch","Seized Movement","Mechanical","Tea",87.9,140.3,52.5,28.4,yes,no,"StormedOutWaiting",,0.0,"Loiter",0,0,0,no,no,,,
"Ingrid",no,"Cheerful","Repair","Phone","Service disconnected - call support to restore it","Bureaucratic",,114.9,141.1,26.2,,no,no,"ShelfFull",,0.8,,0,0,0,no,no,,,
"Nina",no,"Impatient","Drink","Hot Chocolate",,,,121.9,165.0,43.1,,no,no,"StormedOutInQueue",,0.0,,0,0,0,no,no,,,
"Omar",no,"Chatty","Drink","Tea",,,,80.9,168.2,87.4,64.0,yes,yes,"Served",,0.5,"Seat",3,1,0,no,no,,,
"Priya",no,"Sentimental","Repair","Phone","Service disconnected - call support to restore it","Bureaucratic","Hot Chocolate",94.9,205.9,111.0,88.2,yes,yes,"Served","Perfect",0.2,"Seat",80,34,0,no,no,,,
"Ali",no,"Impatient","Repair","Phone","Frozen Boot Sequence - Reconnect Signal","Software",,151.9,212.3,60.4,29.4,yes,no,"StormedOutWaiting",,0.0,"Loiter",0,0,0,no,no,,,
"Mansoor",no,"Chatty","Repair","Pocket Watch","Seized Movement","Mechanical",,107.9,219.8,111.9,96.8,yes,no,"StormedOutWaiting",,0.0,"Seat",0,0,0,no,no,,,
"Saamin",no,"Sentimental","Repair","Phone","Service disconnected - call support to restore it","Bureaucratic",,167.9,244.3,76.4,51.8,yes,yes,"Served","Perfect",0.5,"Seat",75,25,0,no,no,,,
