name,regular,character,kind,subject,fault,fault_family,drink_wish,arrived_s,left_s,in_shop_s,service_s,accepted,served,outcome,grade,patience_at_exit,wait_kind,base_pay,tip,story_lines,focus_requested,remembered_focus,story_episode,camera_grade,photo_variant
"Malcom",no,"Rushed","Drink","Latte",,,,23.3,74.8,51.5,26.2,yes,no,"StormedOutWaiting",,0.0,"Loiter",0,0,0,no,no,,,
"Tomas",no,"Chatty","Repair","Phone","Calls light up the screen, but the phone never rings","Human","Latte",53.3,75.6,22.3,5.1,yes,yes,"Served","Perfect",1.0,,31,18,0,no,no,,,
"Saamin",no,"Cheerful","Repair","Phone","Cracked Screen","Mechanical","Americano",5.3,91.6,86.3,73.3,yes,yes,"Served","Perfect",0.5,"Seat",142,85,0,no,no,,,
"Deshawn",no,"Sentimental","Repair","Phone","Cracked Screen","Mechanical","Tea",65.3,120.3,55.0,,no,no,"StormedOutInQueue",,0.0,,0,0,0,no,no,,,
"Ali",no,"Cheerful","Drink","Espresso",,,,41.3,120.8,79.5,55.7,yes,yes,"Served",,0.9,"Seat",4,2,0,no,no,,,
"Mansoor",no,"Impatient","Repair","Phone","Gunked Up, Won't Charge","Cleaning","Latte",128.4,142.9,14.6,,no,no,"Declined",,0.9,,0,0,0,no,no,,,
"Ingrid",no,"Rushed","Repair","Phone","Gunked Up, Won't Charge","Cleaning",,121.4,162.1,40.8,26.1,yes,no,"StormedOutWaiting",,0.0,"Loiter",0,0,0,no,no,,,
"Omar",no,"Cheerful","Drink","Hot Chocolate",,,,77.3,171.5,94.1,46.9,yes,yes,"Served",,0.6,"Seat",5,2,0,no,no,,,
"Priya",no,"Sentimental","Repair","Pocket Watch","Debris Inside, Won't Tell Time","Cleaning",,151.4,191.2,39.9,,no,no,"Declined",,0.4,,0,0,0,no,no,,,
"Valerie",no,"Cheerful","Repair","Phone","Service disconnected - call support to restore it","Bureaucratic","Americano",84.3,213.0,128.6,83.6,yes,yes,"Served","Perfect",0.4,"Seat",79,31,0,no,no,,,
"Alishba",no,"Chatty","Drink","Americano",,,,135.4,234.1,98.8,39.5,yes,yes,"Served",,0.8,"Seat",4,2,0,no,no,,,
"Yuki",no,"Chatty","Repair","Phone","Service disconnected - call support to restore it","Bureaucratic","Latte",167.4,265.5,98.1,65.7,yes,yes,"Served","Perfect",1.0,"Seat",87,48,0,no,no,,,
